Station Carrefour ID,Date,Enseigne Concurrente,Produit,Inférieur,Supérieur,Égal
69200001,2024-05-06,Total,GPLc,0,1,0
59160002,2024-06-04,Avia,GPLc,0,2,0
13220003,2024-04-20,Total Access,GPLc,0,1,6
74200003,2024-07-22,Avia,GPLc,0,1,0
31220002,2024-03-13,Intermarché,GPLc,1,0,0
13741001,2024-06-07,Total,GPLc,1,2,0
69200001,2024-05-24,Avia,GPLc,0,2,0
94430003,2024-05-29,Auchan,GPLc,0,1,0
47200008,2024-06-30,Leclerc,GPLc,3,0,2
38150001,2024-01-16,Auchan,GPLc,1,1,0
56190011,2024-04-02,Leclerc,GPLc,1,0,1
59290001,2024-03-04,CORA,GPLc,0,3,0
34600001,2024-01-22,Dyneff,GPLc,1,0,0
94430003,2024-03-16,Systéme U,GPLc,0,1,0
59160002,2024-06-11,Avia,GPLc,0,2,0
59160002,2024-03-31,Total Access,GPLc,5,0,0
22200003,2024-05-05,Total Access,GPLc,0,2,0
62901001,2024-05-14,Esso,GPLc,0,1,0
59290001,2024-06-19,Systéme U,GPLc,0,1,0
59430001,2024-05-12,CORA,GPLc,1,0,0
78120003,2024-03-24,Total,GPLc,0,3,0
69132001,2024-07-23,Total,GPLc,0,1,0
78120003,2024-03-09,Avia,GPLc,0,1,0
31170001,2024-04-30,Intermarché,GPLc,3,2,0
38150001,2024-03-24,BP,GPLc,0,5,0
30900002,2024-06-09,Intermarché,GPLc,0,2,0
94430003,2024-06-21,Systéme U,GPLc,0,1,0
94430003,2024-02-13,BP,GPLc,0,14,0
22200003,2024-02-20,Total Access,GPLc,0,2,0
29290001,2024-08-11,Géant,GPLc,0,1,0
59290001,2024-01-04,Total Access,GPLc,1,4,0
31370001,2024-06-03,Intermarché,GPLc,2,0,0
69132001,2024-01-13,ENI,GPLc,0,1,0
59290001,2024-02-20,Intermarché,GPLc,0,1,0
34600001,2024-07-26,Dyneff,GPLc,1,0,0
13220003,2024-06-12,BP,GPLc,0,1,0
35301001,2024-07-06,Leclerc,GPLc,0,0,1
13741001,2024-01-04,Total,GPLc,0,3,0
34600001,2024-08-12,Total Access,GPLc,1,0,0
29290001,2024-04-22,Géant,GPLc,0,1,0
29290001,2024-05-04,Géant,GPLc,0,1,0
17170003,2024-08-02,Intermarché,GPLc,0,2,0
29300004,2024-02-07,Intermarché,GPLc,1,0,1
31170001,2024-05-01,Total Access,GPLc,3,0,0
13220003,2024-06-30,Leclerc,GPLc,0,1,0
4000001,2024-04-18,Auchan,GPLc,0,1,0
29290001,2024-02-07,Total,GPLc,0,1,0
38240003,2024-01-16,Avia,GPLc,0,1,0
69132001,2024-03-31,Auchan,GPLc,1,1,1
13220003,2024-01-15,Leclerc,GPLc,1,0,0
59430001,2024-02-08,Total,GPLc,1,1,0
31170001,2024-08-10,Total Access,GPLc,3,0,0
22200003,2024-06-03,Total Access,GPLc,0,2,0
31370001,2024-05-20,Avia,GPLc,1,0,0
56190011,2024-07-25,Auchan,GPLc,1,0,0
38150001,2024-05-30,Avia,GPLc,0,3,0
13741001,2024-02-28,BP,GPLc,0,1,0
30900002,2024-07-01,Total,GPLc,0,1,1
69200001,2024-07-21,ENI,GPLc,0,1,0
50300001,2024-08-06,Intermarché,GPLc,0,1,0
15100005,2024-02-05,Intermarché,GPLc,1,0,0
6156001,2024-02-21,BP,GPLc,0,2,0
71100002,2024-05-03,Géant,GPLc,0,1,0
29300004,2024-02-22,Casino,GPLc,1,0,0
34600001,2024-04-16,Leclerc,GPLc,0,0,1
17170003,2024-03-11,Total Access,GPLc,0,2,0
13220003,2024-05-30,BP,GPLc,0,1,0
29300004,2024-06-20,Intermarché,GPLc,1,0,1
38150001,2024-03-09,Avia,GPLc,0,3,0
94430003,2024-03-03,Esso,GPLc,1,4,0
59160002,2024-02-07,Systéme U,GPLc,0,1,0
38240003,2024-03-15,Systéme U,GPLc,0,1,0
47200008,2024-02-20,Leclerc,GPLc,5,0,0
31220002,2024-06-09,Systéme U,GPLc,1,0,1
59430001,2024-07-25,Total Access,GPLc,0,0,1
78120003,2024-07-30,Esso,GPLc,0,1,0
59160002,2024-05-30,Avia,GPLc,0,2,0
35301001,2024-08-12,Leclerc,GPLc,1,0,0
74200003,2024-01-15,Avia,GPLc,0,1,0
17170003,2024-04-22,Total Access,GPLc,0,2,0
59160002,2024-03-26,Systéme U,GPLc,0,1,0
17170003,2024-08-09,Total,GPLc,0,1,0
56006001,2024-03-10,Total Access,GPLc,0,1,0
31370001,2024-03-05,Total Access,GPLc,3,0,0
15100005,2024-04-27,Intermarché,GPLc,1,0,0
78410002,2024-02-06,BP,GPLc,0,6,0
69132001,2024-02-10,ENI,GPLc,0,1,0
31170001,2024-05-15,Leclerc,GPLc,2,0,0
69132001,2024-05-08,BP,GPLc,1,2,0
6156001,2024-03-10,Avia,GPLc,0,2,0
13741001,2024-08-05,Géant,GPLc,0,1,0
13220003,2024-03-10,Géant,GPLc,1,2,0
17170003,2024-02-19,Avia,GPLc,0,1,0
35301001,2024-02-09,Systéme U,GPLc,0,3,0
6156001,2024-05-01,Géant,GPLc,1,0,1
35301001,2024-02-15,Systéme U,GPLc,1,2,0
94430003,2024-05-05,Total,GPLc,0,11,0
60280001,2024-07-27,Auchan,GPLc,0,1,0
4000001,2024-04-18,Systéme U,GPLc,0,1,0
71100002,2024-03-21,BP,GPLc,0,1,0
17170003,2024-07-19,Total,GPLc,0,1,0
47200008,2024-05-07,Systéme U,GPLc,1,0,0
35301001,2024-01-07,Systéme U,GPLc,0,3,0
59160002,2024-03-23,Total Access,GPLc,1,4,0
59160002,2024-05-04,Intermarché,GPLc,1,0,0
31370001,2024-08-04,Total Access,GPLc,3,0,0
47200008,2024-05-06,Leclerc,GPLc,3,0,2
71100002,2024-04-27,BP,GPLc,0,1,0
69132001,2024-02-02,Systéme U,GPLc,0,1,0
35301001,2024-04-26,Systéme U,GPLc,1,2,0
56190011,2024-02-05,Avia,GPLc,2,0,0
13741001,2024-06-20,ENI,GPLc,0,2,0
31170001,2024-07-26,Total,GPLc,1,0,0
22200003,2024-05-20,Intermarché,GPLc,0,1,0
22200003,2024-03-19,Total Access,GPLc,0,2,0
69200001,2024-04-05,Total,GPLc,0,1,0
31370001,2024-01-22,Auchan,GPLc,1,0,0
38150001,2024-06-06,Avia,GPLc,0,3,0
78410002,2024-05-04,BP,GPLc,0,6,0
78120003,2024-04-02,Avia,GPLc,0,1,0
13741001,2024-05-15,Total Access,GPLc,7,0,0
69132001,2024-05-19,Auchan,GPLc,1,1,1
31170001,2024-05-11,Total Access,GPLc,3,0,0
56006001,2024-04-08,Total Access,GPLc,0,1,0
78120003,2024-04-04,Esso,GPLc,0,1,0
71100002,2024-07-08,Auchan,GPLc,0,1,0
34600001,2024-04-17,Systéme U,GPLc,0,1,0
34600001,2024-01-19,Total Access,GPLc,1,0,0
78120003,2024-02-08,Auchan,GPLc,0,1,0
59290001,2024-02-13,Total Access,GPLc,0,5,0
31370001,2024-06-08,Avia,GPLc,1,0,0
13220003,2024-05-27,Géant,GPLc,0,1,1
34600001,2024-05-19,Intermarché,GPLc,1,0,0
38240003,2024-03-09,Avia,GPLc,0,1,0
17170003,2024-01-30,Total Access,GPLc,0,2,0
29196001,2024-01-26,Total,GPLc,0,1,0
6156001,2024-02-21,Avia,GPLc,0,2,0
31190003,2024-03-12,Total,GPLc,1,0,0
34600001,2024-02-28,Leclerc,GPLc,0,0,1
15100005,2024-03-12,Intermarché,GPLc,1,0,0
78410002,2024-01-04,Total Access,GPLc,1,4,0
13741001,2024-01-23,BP,GPLc,0,1,0
38150001,2024-06-16,Avia,GPLc,0,3,0
78120003,2024-07-17,Intermarché,GPLc,0,1,0
31170001,2024-07-23,Leclerc,GPLc,2,0,0
